Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260511 0600;1.35993;1.35993;1.35949;1.35969;619
20260511 0603;1.35969;1.35972;1.35945;1.3595;382
20260511 0606;1.3595;1.35959;1.35937;1.35947;363
20260511 0609;1.35947;1.35967;1.35912;1.35945;472
20260511 0612;1.35945;1.35951;1.35928;1.35939;371
20260511 0615;1.35939;1.35947;1.35935;1.35942;323
20260511 0618;1.35942;1.35978;1.35935;1.35965;335
20260511 0621;1.35965;1.3597;1.35951;1.35959;343
20260511 0624;1.35959;1.35993;1.35958;1.35983;408
20260511 0627;1.35983;1.36002;1.3598;1.35995;322
20260511 0630;1.35995;1.36033;1.35989;1.36027;398
20260511 0633;1.36027;1.3603;1.36013;1.36018;321
20260511 0636;1.36018;1.36044;1.35967;1.35978;696
20260511 0639;1.35978;1.36001;1.3586;1.35913;1864
20260511 0642;1.35913;1.35946;1.35909;1.35929;633
20260511 0645;1.35929;1.35951;1.35877;1.3589;760
20260511 0648;1.3589;1.36003;1.3589;1.35997;804
20260511 0651;1.35997;1.36008;1.35972;1.3598;529
20260511 0654;1.3598;1.36008;1.35908;1.35918;740
20260511 0657;1.35918;1.35929;1.35858;1.35886;1816
20260511 0700;1.35886;1.35923;1.35884;1.35922;907
20260511 0703;1.35922;1.36009;1.35879;1.3598;1144
20260511 0706;1.3598;1.36102;1.35971;1.36102;1051
20260511 0709;1.36102;1.36112;1.36071;1.36082;609
20260511 0712;1.36082;1.36102;1.36047;1.36101;447
20260511 0715;1.36101;1.36101;1.36067;1.3608;356
20260511 0718;1.3608;1.36119;1.3608;1.36116;434
20260511 0721;1.36116;1.36117;1.36099;1.36114;327
20260511 0724;1.36114;1.36115;1.36099;1.3611;250
20260511 0727;1.3611;1.36129;1.36099;1.36122;382
20260511 0730;1.36122;1.36137;1.36118;1.36126;522
20260511 0733;1.36126;1.36146;1.36078;1.36109;1163
20260511 0736;1.36109;1.3613;1.36089;1.36092;626
20260511 0739;1.36092;1.36113;1.36086;1.3609;359
20260511 0742;1.3609;1.36111;1.3608;1.361;380
20260511 0745;1.361;1.36132;1.361;1.36129;258
20260511 0748;1.36129;1.36138;1.36091;1.36091;434
20260511 0751;1.36091;1.36105;1.36038;1.3605;646
20260511 0754;1.3605;1.36082;1.36007;1.36032;957
20260511 0757;1.36032;1.36081;1.36028;1.3607;738
20260511 0800;1.3607;1.3608;1.36028;1.3603;801
20260511 0803;1.3603;1.36048;1.36015;1.36021;583
20260511 0806;1.36021;1.36051;1.36007;1.36035;555
20260511 0809;1.36035;1.3605;1.3602;1.36045;496
20260511 0812;1.36045;1.36062;1.3602;1.36025;500
20260511 0815;1.36025;1.36031;1.35997;1.36001;534
20260511 0818;1.36001;1.36051;1.36;1.36051;566
20260511 0821;1.36051;1.36116;1.36047;1.36114;653
20260511 0824;1.36114;1.36158;1.36097;1.3611;861
20260511 0827;1.3611;1.36118;1.36089;1.36118;499
20260511 0830;1.36118;1.36118;1.36077;1.36092;628
20260511 0833;1.36092;1.36141;1.36089;1.36134;596
20260511 0836;1.36134;1.36148;1.36115;1.36141;578
20260511 0839;1.36141;1.36143;1.36117;1.36131;447
20260511 0842;1.36131;1.36131;1.36102;1.36111;470
20260511 0845;1.36111;1.36114;1.36055;1.36057;654
20260511 0848;1.36057;1.361;1.3604;1.36087;1031
20260511 0851;1.36087;1.36092;1.3606;1.3606;481
20260511 0854;1.3606;1.361;1.36054;1.36092;604
20260511 0857;1.36092;1.36111;1.36087;1.3611;525
20260511 0900;1.3611;1.3614;1.36108;1.36129;914
20260511 0903;1.36129;1.36157;1.36126;1.36148;493
20260511 0906;1.36148;1.36183;1.36137;1.36179;478
20260511 0909;1.36179;1.36218;1.36179;1.36197;689
20260511 0912;1.36197;1.36229;1.36197;1.36208;593
20260511 0915;1.36208;1.36228;1.36198;1.36208;538
20260511 0918;1.36208;1.3622;1.36202;1.36211;575
20260511 0921;1.36211;1.36219;1.36197;1.36211;554
20260511 0924;1.36211;1.36227;1.36198;1.36221;583
20260511 0927;1.36221;1.36236;1.36207;1.36209;421
20260511 0930;1.36209;1.3622;1.36199;1.36217;968
20260511 0933;1.36217;1.36224;1.36196;1.36219;649
20260511 0936;1.36219;1.36269;1.36208;1.36262;782
20260511 0939;1.36262;1.36296;1.36257;1.36278;666
20260511 0942;1.36278;1.36287;1.36265;1.36285;650
20260511 0945;1.36285;1.36292;1.36272;1.36275;576
20260511 0948;1.36275;1.36275;1.36247;1.36257;560
20260511 0951;1.36257;1.36268;1.36238;1.36254;527
20260511 0954;1.36254;1.36271;1.36249;1.3626;581
20260511 0957;1.3626;1.36263;1.36231;1.36237;535
20260511 1000;1.36237;1.36259;1.36197;1.36222;685
20260511 1003;1.36222;1.3624;1.36188;1.36199;668
20260511 1006;1.36199;1.362;1.3617;1.36191;735
20260511 1009;1.36191;1.36219;1.36191;1.36216;566
20260511 1012;1.36216;1.36246;1.36197;1.36245;556
20260511 1015;1.36245;1.36268;1.36228;1.36259;617
20260511 1018;1.36259;1.36281;1.36251;1.36252;591
20260511 1021;1.36252;1.36269;1.36246;1.36254;521
20260511 1024;1.36254;1.3627;1.36251;1.36267;540
20260511 1027;1.36267;1.36267;1.36239;1.36248;719
20260511 1030;1.36248;1.36269;1.36174;1.3622;1931
20260511 1033;1.3622;1.36261;1.36208;1.36257;994
20260511 1036;1.36257;1.36269;1.36211;1.36268;976
20260511 1039;1.36268;1.363;1.36257;1.363;659
20260511 1042;1.363;1.36303;1.36276;1.36277;526
20260511 1045;1.36277;1.36279;1.36228;1.36228;672
20260511 1048;1.36228;1.3624;1.36214;1.36229;688
20260511 1051;1.36229;1.3632;1.36218;1.36311;897
20260511 1054;1.36311;1.3636;1.36309;1.3633;1091
20260511 1057;1.3633;1.36394;1.36295;1.36391;1464
20260511 1100;1.36391;1.36443;1.3638;1.36421;1698
20260511 1103;1.36421;1.36432;1.36373;1.36413;841
20260511 1106;1.36413;1.36429;1.36393;1.3641;547
20260511 1109;1.3641;1.3641;1.36381;1.36392;481
